x,y,ψ,v,κ,δ
-1.9,-0.0,0.8592914378611305,0.5807056792510422,1.071739078323653,0.0
-1.8957818694711286,0.004926502891447089,0.8654522415717746,0.5847528559697257,1.021956880615314,0.0
-1.8915963327092487,0.009880728754168604,0.8713665220737611,0.5887333541456139,0.9742072690949869,0.0
-1.8874418953709458,0.01486106375083896,0.8770414790508042,0.5926450624721736,0.9283823793342786,0.0
-1.8833171208397559,0.019865994751215275,0.8824839934633681,0.596485986690315,0.8843794039303285,0.0
-1.8792206273441383,0.024894100955516394,0.887700637836437,0.6002542434579174,0.8421004213563849,0.0
-1.8751510851467954,0.029944046286400433,0.892697686495254,0.6039480545878833,0.8014522136658774,0.0
-1.8711072138196883,0.03501457247198696,0.897481125684605,0.6075657416358955,0.7623460768308982,0.0
-1.8670877796143817,0.04010449275029553,0.902056663518888,0.6111057208195743,0.7246976268274807,0.0
-1.8630915929338054,0.04521268613265528,0.9064297397202432,0.614566498251346,0.6884266040091096,0.0
-1.8591175059086267,0.050338092170126233,0.9106055351106329,0.6179466654680211,0.6534566778240758,0.0
-1.8551644100793376,0.05547970617279069,0.9145889808311131,0.6212448952407873,0.6197152535205794,0.0
-1.8512312341834687,0.06063657483701001,0.9183847672678161,0.6244599376500927,0.5871332821357574,0.0
-1.8473169420461517,0.06580779224040972,0.9219973526694663,0.6275906164106395,0.5556450747724953,0.0
-1.8434205305713065,0.07099249616853706,0.9254309714457357,0.630635825432486,0.5251881219230263,0.0
-1.8395410278301103,0.07618986474086302,0.9286896421395201,0.6335945256050121,0.4957029183942736,0.0
-1.8356774912429397,0.0813991133071259,0.931777175069343,0.6364657417912478,0.46713279422062165,0.0
-1.8318290058506967,0.08661949158797705,0.9346971796407108,0.6392485600208035,0.4394237518102333,0.0
-1.8279946826712434,0.09185028103652987,0.9374530713273748,0.6419421248703372,0.4125243094566335,0.0
-1.8241736571366134,0.09709079239976531,0.9400480783252055,0.6445456370211928,0.3863853512542189,0.0
-1.8203650876066506,0.10234036346084407,0.9424852478827745,0.6470583509844938,0.3609599833813286,0.0
-1.816568153954775,0.10759835694524097,0.9447674523138586,0.649479572984612,0.33620339665461635,0.0
-1.8127820562216759,0.11286415857528344,0.9468973946979352,0.651808658992539,0.31207273521129986,0.0
-1.809006013332835,0.11813717525915599,0.9488776142753905,0.6540450129012613,0.2885269711393222,0.0
-1.8052392618759279,0.12341683340175895,0.9507104915446247,0.6561880848357948,0.2655267848477573,0.0
-1.8014810549342963,0.12870257732598409,0.9523982530685683,0.658237369591057,0.24303445094941453,0.0
-1.797730660972859,0.13399386779402542,0.9539429759983064,0.6601924051912527,0.22101372941328357,0.0
-1.7939873627729557,0.13929018061927936,0.9553465923215981,0.6620527715649219,0.1994297617350801,0.0
-1.7902504564128154,0.14459100536022834,0.9566108928440812,0.6638180893302572,0.178248971868834,0.0
-1.7865192502904927,0.14989584408843118,0.9577375309108699,0.6654880186857071,0.15743897166041101,0.0
-1.782793064186224,0.1552042102234646,0.9587280258761328,0.6670622584013075,0.13696847052442765,0.0
-1.7790712283614085,0.16051562742815417,0.9595837663280488,0.6685405449065548,0.11680718910868503,0.0
-1.7753530826914472,0.16582962855807232,0.9603060130763303,0.6699226514710106,0.09692577669454351,0.0
-1.7716379758298901,0.17114575465967619,0.9608959019092536,0.6712083874741679,0.07729573208723908,0.0
-1.7679252644014511,0.17646355401190789,0.9613544461268693,0.6723975977614495,0.057889327756674,0.0
-1.7642143122215572,0.18178258120644264,0.9616825388567856,0.673490162083525,0.03867953699647526,0.0
-1.7605044895402482,0.1871023962621027,0.9618809551586246,0.6744859946164314,0.019639963876894394,0.0
-1.7567951723083277,0.19242256376924313,0.9619503539229524,0.6753850435602815,0.0007447757752685458,0.0
-1.753085741463779,0.19774265206017042,0.9618912795701876,0.6761872908146143,-0.018031361723847627,0.0
-1.749375582236561,0.20306223240187912,0.9617041635546979,0.6768927517287195,-0.03671334775822836,0.0
